text,label,normalized,language_tags,phonetic
this place is so beautiful yaar,positive,this place is so beautiful yaar,"['EN', 'EN', 'EN', 'EN', 'EN', 'HI']",/ðɪs pleɪs ɪz soʊ bjuːtɪfʊl jaːr/
finally met my old friends bahut khushi hui,positive,finally met my old friends bahut khushi hui,"['EN', 'UNK', 'EN', 'EN', 'EN', 'HI', 'UNK', 'UNK']",/faɪnəliː meːt maɪ oʊld frendz bəhʊt kʰʊʃɪ hʊɪ/
what an amazing concert totally worth it,positive,what an amazing concert totally worth it,"['EN', 'EN', 'EN', 'UNK', 'EN', 'UNK', 'EN']",/wɒt æn əmeɪzɪŋ koːnkeːrt toʊtəliː woːrtʰ ɪt/
bahut acchi news mili aaj great day,positive,bahut acchi news mili aaj great day,"['HI', 'UNK', 'UNK', 'HI', 'HI', 'EN', 'EN']",/bəhʊt əktʃɪ neːws mɪliː aːdʒ greɪt deɪ/
yaar tere bina life boring thi miss you,positive,yaar tere bina life boring thi miss you,"['HI', 'UNK', 'UNK', 'UNK', 'HI', 'HI', 'UNK', 'EN']",/jaːr teːreː bɪnə lɪfeː boːrɪŋ tʰiː mɪss juː/
is hotel ki service ekdum first class hai,positive,is hotel ki service ekdum first class hai,"['EN', 'UNK', 'HI', 'UNK', 'UNK', 'UNK', 'EN', 'HI']",/ɪz hoːteːl kiː sɜːrvɪs eːkdʊm fɪrst klɑːs hɛː/
mummy ke haath ka khana is the best,positive,mummy ke haath ka khana is the best,"['UNK', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'EN']",/mʊmmj keː haːtʰ kaː kʰaːnaː ɪz tʰeː best/
finally weekend relaxing at home love it,positive,finally weekend relaxing at home love it,"['EN', 'HI', 'EN', 'EN', 'UNK', 'UNK', 'EN']",/faɪnəliː wiːkeːnd reːləksɪŋ æt hoːmeː loːveː ɪt/
bhai party was lit bahut maza aaya,positive,bhai party was lit bahut maza aaya,"['HI', 'EN', 'EN', 'UNK', 'HI', 'UNK', 'HI']",/bʰaːiː pɑːrtiː wɒz lɪt bəhʊt məzə aːjaː/
new phone is awesome features kamaal ke hain,positive,new phone is awesome features kamaal ke hai,"['EN', 'EN', 'EN', 'EN', 'UNK', 'HI', 'HI', 'HI']",/njuː foʊn ɪz ɔːsəm feːətʊreːs kəmaːl keː hɛː/
teacher ne bahut acche se samjhaya understood everything,positive,teacher ne bahut acche se samjhaya understood everything,"['UNK', 'UNK', 'HI', 'UNK', 'HI', 'UNK', 'HI', 'EN']",/teːətʃeːr neː bəhʊt əktʃeː seː səmdʒʰəjə ʊndeːrstuːd evriːθɪŋ/
road trip was superb best memories ever,positive,road trip was superb best memories ever,"['UNK', 'UNK', 'EN', 'UNK', 'EN', 'UNK', 'UNK']",/roːəd trɪp wɒz sʊpeːrb best meːmoːrɪeːs eːveːr/
coffee shop ki ambiance bahut soothing hai,positive,coffee shop ki ambiance bahut soothing hai,"['EN', 'UNK', 'HI', 'UNK', 'HI', 'EN', 'HI']",/kɒfiː ʃoːp kiː əmbɪənkeː bəhʊt suːtʰɪŋ hɛː/
gym jaana start kiya feeling so energetic,positive,gym jaana start kya feeling so energetic,"['UNK', 'HI', 'EN', 'HI', 'EN', 'EN', 'UNK']",/gjm dʒaːnə stɑːrt kjaː fiːlɪŋ soʊ eːneːrgeːtɪk/
promotion mil gayi finally hard work paid off,positive,promotion mil gayi finally hard work paid off,"['EN', 'HI', 'HI', 'EN', 'EN', 'EN', 'UNK', 'UNK']",/proːmoːtɪoːn mɪl gəjiː faɪnəliː hɑːrd wɜːrk paɪd oːff/
sunset dekha beach pe so beautiful,positive,sunset dekha beach pe so beautiful,"['UNK', 'HI', 'UNK', 'HI', 'EN', 'EN']",/sʊnseːt deːkʰaː beːətʃ peː soʊ bjuːtɪfʊl/
friends ke saath time spend karna is priceless,positive,friends ke saath time spend karna is priceless,"['EN', 'HI', 'HI', 'HI', 'UNK', 'HI', 'EN', 'UNK']",/frendz keː saːtʰ tɪmeː speːnd kərnaː ɪz prɪkeːleːss/
homemade pizza turned out amazing first attempt,positive,homemade pizza turned out amazing first attempt,"['UNK', 'UNK', 'EN', 'UNK', 'EN', 'UNK', 'UNK']",/hoːmeːmədeː pɪzzə tʊrneːd aʊt əmeɪzɪŋ fɪrst ətteːmpt/
book bahut interesting thi couldnt put it down,positive,book bahut interesting thi couldnt put it down,"['HI', 'HI', 'EN', 'HI', 'UNK', 'UNK', 'EN', 'UNK']",/buːk bəhʊt ɪntrəstɪŋ tʰiː kaʊldnt pʊt ɪt doːwn/
morning walk pe gaya fresh feel ho raha,positive,morning walk pe gaya fresh feel ho raha,"['EN', 'UNK', 'HI', 'HI', 'UNK', 'EN', 'HI', 'HI']",/moːrnɪŋ wəlk peː gəjaː freːʃ fiːl hoː rəhaː/
birthday celebration was perfect thank you all,positive,birthday celebration was perfect thank you all,"['UNK', 'EN', 'EN', 'UNK', 'EN', 'EN', 'UNK']",/bɪrtʰdəj keːleːbrətɪoːn wɒz peːrfeːkt θæŋk juː əll/
online course bahut informative hai learning a lot,positive,online course bahut informative hai learning a lot,"['UNK', 'UNK', 'HI', 'UNK', 'HI', 'EN', 'EN', 'UNK']",/oːnlɪneː kaʊrseː bəhʊt ɪnfoːrmətɪveː hɛː leːərnɪŋ ə loːt/
new haircut looks great feeling confident,positive,new haircut looks great feeling confident,"['EN', 'UNK', 'HI', 'EN', 'EN', 'UNK']",/njuː haɪrkʊt luːks greɪt fiːlɪŋ koːnfɪdeːnt/
train on time aayi for once happy,positive,train on time aayi for once happy,"['EN', 'EN', 'HI', 'HI', 'EN', 'UNK', 'EN']",/treɪn ɒn tɪmeː aːjɪ fɔːr oːnkeː hæpiː/
neighbours bahut helpful hain lucky to have them,positive,neighbours bahut helpful hai lucky to have them,"['UNK', 'HI', 'UNK', 'HI', 'UNK', 'HI', 'EN', 'EN']",/neːɪgʰbaʊrs bəhʊt heːlpfʊl hɛː lʊkkj toː hæv ðem/
salary credited finally shopping time,positive,salary credited finally shopping time,"['UNK', 'EN', 'EN', 'EN', 'HI']",/sələrj kreːdɪteːd faɪnəliː ʃoːppɪŋ tɪmeː/
plants grow ho rahe hain gardening is therapeutic,positive,plants grow ho rahe hai gardening is therapeutic,"['UNK', 'UNK', 'HI', 'HI', 'HI', 'EN', 'EN', 'UNK']",/plənts groːw hoː rəheː hɛː gərdeːnɪŋ ɪz tʰeːrəpeːʊtɪk/
childhood friend se mila after years emotional moment,positive,childhood friend se mila after years emotional moment,"['HI', 'EN', 'HI', 'HI', 'EN', 'UNK', 'UNK', 'EN']",/tʃɪldʰuːd frend seː mɪlaː ɑːftər jeːərs eːmoːtɪoːnəl moːmeːnt/
interview accha gaya confident about results,positive,interview acha gaya confident about results,"['UNK', 'HI', 'HI', 'UNK', 'EN', 'UNK']",/ɪnteːrvɪeːw ətʃʰaː gəjaː koːnfɪdeːnt əbaʊt reːsʊlts/
home renovation complete looks beautiful now,positive,home renovation complete looks beautiful now,"['UNK', 'EN', 'UNK', 'HI', 'EN', 'EN']",/hoːmeː reːnoːvətɪoːn koːmpleːteː luːks bjuːtɪfʊl naʊ/
diet follow kar raha seeing results already,positive,diet follow kar raha seeing results already,"['UNK', 'UNK', 'HI', 'HI', 'EN', 'UNK', 'EN']",/dɪeːt foːlloːw kər rəhaː siːɪŋ reːsʊlts ɔːlrediː/
meditation start kiya feeling peaceful,positive,meditation start kya feeling peaceful,"['EN', 'EN', 'HI', 'EN', 'UNK']",/meːdɪtətɪoːn stɑːrt kjaː fiːlɪŋ peːəkeːfʊl/
surprise party for mom she was so happy,positive,surprise party for mom she was so happy,"['UNK', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']",/sʊrprɪseː pɑːrtiː fɔːr mɒm ʃiː wɒz soʊ hæpiː/
college memories yaad aa gayi good old days,positive,college memories yaad aa gayi good old days,"['EN', 'UNK', 'HI', 'HI', 'HI', 'EN', 'EN', 'UNK']",/kɒlɪdʒ meːmoːrɪeːs jaːd aː gəjiː gʊd oʊld dəjs/
cooking experiment successful family loved it,positive,cooking experiment successful family loved it,"['EN', 'EN', 'UNK', 'EN', 'EN', 'EN']",/kuːkɪŋ eːkspeːrɪmeːnt sʊkkeːssfʊl fæmɪliː loːveːd ɪt/
long drive pe gaye weather perfect tha,positive,long drive pe gaye weather perfect tha,"['EN', 'UNK', 'HI', 'HI', 'UNK', 'UNK', 'HI']",/lɒŋ drɪveː peː gəjeː weːətʰeːr peːrfeːkt tʰaː/
yoga class joined feeling flexible already,positive,yoga class joined feeling flexible already,"['UNK', 'EN', 'EN', 'EN', 'EN', 'EN']",/joːgə klɑːs dʒɔɪneːd fiːlɪŋ fleːksɪbleː ɔːlrediː/
documentary dekhi very inspiring must watch,positive,documentary dekhi very inspiring must watch,"['UNK', 'HI', 'EN', 'EN', 'UNK', 'EN']",/doːkʊmeːntərj deːkʰɪ veriː ɪnspɪrɪŋ mʊst wɒtʃ/
kya bakwas service hai totally disappointed,negative,kya bakwas service hai totally disappointed,"['HI', 'HI', 'UNK', 'HI', 'EN', 'EN']",/kjaː bəkvaːs sɜːrvɪs hɛː toʊtəliː dɪsəpɔɪntɪd/
bahut boring day tha nothing happened,negative,bahut boring day tha nothing happened,"['HI', 'HI', 'EN', 'HI', 'EN', 'EN']",/bəhʊt boːrɪŋ deɪ tʰaː nʌθɪŋ hæpənd/
ye movie complete waste of time thi,negative,ye movie complete waste of time thi,"['HI', 'EN', 'UNK', 'UNK', 'UNK', 'HI', 'HI']",/jeː muːviː koːmpleːteː wəsteː oːf tɪmeː tʰiː/
traffic mein stuck hun bahut frustrating,negative,traffic mein stuck hun bahut frustrating,"['EN', 'HI', 'UNK', 'HI', 'HI', 'EN']",/træfɪk mẽː stʌk hũː bəhʊt frʌstreɪtɪŋ/
kya ghatiya quality hai is product ki,negative,kya ghatiya quality hai is product ki,"['HI', 'UNK', 'UNK', 'HI', 'EN', 'UNK', 'HI']",/kjaː gʰətɪjə kʊəlɪtj hɛː ɪz proːdʊkt kiː/
bahut bura experience tha never going back,negative,bahut bura experience tha never going back,"['HI', 'HI', 'UNK', 'HI', 'EN', 'EN', 'UNK']",/bəhʊt bʊraː ɪkspɪərɪəns tʰaː nevər goʊɪŋ bæk/
itna wait karaya for nothing terrible,negative,itna wait karaya for nothing terrible,"['UNK', 'UNK', 'UNK', 'EN', 'EN', 'EN']",/ɪtnə weɪt kərəjə fɔːr nʌθɪŋ teːrrɪbleː/
ye food toh bekaar tha completely tasteless,negative,ye food toh bekaar tha completely tasteless,"['HI', 'EN', 'HI', 'HI', 'HI', 'EN', 'UNK']",/jeː fuːd toː beːkaːr tʰaː kəmpliːtliː təsteːleːss/
aaj bahut sad feeling hai kuch acha nahi hua,negative,aaj bahut sad feeling hai kuch acha nahi hua,"['HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'UNK']",/aːdʒ bəhʊt sæd fiːlɪŋ hɛː kʊtʃ ətʃʰaː nəhĩː hʊə/
worst customer service ever gussa aa raha hai,negative,worst customer service ever gussa aa raha hai,"['EN', 'UNK', 'UNK', 'UNK', 'UNK', 'HI', 'HI', 'HI']",/wɜːrst kʊstoːmeːr sɜːrvɪs eːveːr gʊssə aː rəhaː hɛː/
is jagah pe mat jana total fraud hai,negative,is jagah pe mat jana total fraud hai,"['EN', 'UNK', 'HI', 'HI', 'HI', 'UNK', 'UNK', 'HI']",/ɪz dʒəgəh peː mət dʒaːnaː toːtəl fraʊd hɛː/
pagal kar diya inhone with their nonsense,negative,pagal kar diya inhone with their nonsense,"['UNK', 'HI', 'HI', 'UNK', 'EN', 'EN', 'UNK']",/pəgəl kər dɪjaː ɪnhoːneː wɪð ðeər noːnseːnseː/
bahut disappointing match tha should have won,negative,bahut disappointing match tha should have won,"['HI', 'EN', 'UNK', 'HI', 'UNK', 'EN', 'UNK']",/bəhʊt dɪsəppɔɪntɪŋ məttʃ tʰaː ʃaʊld hæv woːn/
ye plan toh fail ho gaya complete waste,negative,ye plan toh fail ho gaya complete waste,"['HI', 'EN', 'HI', 'UNK', 'HI', 'HI', 'UNK', 'UNK']",/jeː plæn toː faɪl hoː gəjaː koːmpleːteː wəsteː/
kya torture hai yaar unbearable situation,negative,kya torture hai yaar unbearable situation,"['HI', 'UNK', 'HI', 'HI', 'EN', 'EN']",/kjaː toːrtʊreː hɛː jaːr ʊnbeːərəbleː sɪtʊətɪoːn/
headache ho raha hai badly need rest,negative,headache ho raha hai badly need rest,"['UNK', 'HI', 'HI', 'HI', 'EN', 'EN', 'UNK']",/heːədətʃeː hoː rəhaː hɛː bədlj niːd reːst/
phone hang ho raha hai irritating bahut,negative,phone hang ho raha hai irritating bahut,"['EN', 'UNK', 'HI', 'HI', 'HI', 'EN', 'HI']",/foʊn həŋ hoː rəhaː hɛː ɪrrɪtətɪŋ bəhʊt/
order late aaya cold food mila useless,negative,order late aaya cold food mila useless,"['UNK', 'EN', 'HI', 'UNK', 'EN', 'HI', 'UNK']",/oːrdeːr leɪt aːjaː koːld fuːd mɪlaː ʊseːleːss/
exam bahut tough tha not prepared enough,negative,exam bahut tough tha not prepared enough,"['EN', 'HI', 'UNK', 'HI', 'UNK', 'EN', 'UNK']",/ɪgzæm bəhʊt taʊgʰ tʰaː noːt preːpəreːd eːnaʊgʰ/
boss ne daanta for no reason feeling low,negative,boss ne daanta for no reason feeling low,"['UNK', 'UNK', 'HI', 'EN', 'EN', 'UNK', 'EN', 'UNK']",/boːss neː daːntə fɔːr noʊ reːəsoːn fiːlɪŋ loːw/
wifi not working cant do anything frustrated,negative,wifi not working cant do anything frustrated,"['UNK', 'UNK', 'EN', 'UNK', 'HI', 'EN', 'EN']",/wɪfɪ noːt wɜːrkɪŋ kənt doː ənjtʰɪŋ frʊstrəteːd/
rain mein bhig gaya feeling sick now,negative,rain mein bhig gaya feeling sick now,"['UNK', 'HI', 'UNK', 'HI', 'EN', 'UNK', 'EN']",/raɪn mẽː bʰɪg gəjaː fiːlɪŋ sɪkk naʊ/
movie spoiler mil gaya ruined everything,negative,movie spoiler mil gaya ruined everything,"['EN', 'UNK', 'HI', 'HI', 'EN', 'EN']",/muːviː spɔɪleːr mɪl gəjaː rʊɪneːd evriːθɪŋ/
alarm nahi baja late ho gaya bad start,negative,alarm nahi baja late ho gaya bad start,"['UNK', 'HI', 'UNK', 'EN', 'HI', 'HI', 'EN', 'EN']",/ələrm nəhĩː bədʒə leɪt hoː gəjaː bæd stɑːrt/
friend ne cancel kiya last minute annoying,negative,friend ne cancel kya last minute annoying,"['EN', 'UNK', 'UNK', 'HI', 'UNK', 'UNK', 'EN']",/frend neː kənkeːl kjaː ləst mɪnʊteː ənɔɪɪŋ/
ac kharab ho gaya itni garmi mein terrible,negative,ac kharab ho gaya itni garmi mein terrible,"['UNK', 'UNK', 'HI', 'HI', 'UNK', 'UNK', 'HI', 'EN']",/ək kʰərəb hoː gəjaː ɪtnɪ gərmɪ mẽː teːrrɪbleː/
paise waste ho gaye useless product,negative,paise waste ho gaye useless product,"['UNK', 'UNK', 'HI', 'HI', 'UNK', 'UNK']",/paɪseː wəsteː hoː gəjeː ʊseːleːss proːdʊkt/
sleep nahi aayi raat bhar tired feeling,negative,sleep nahi aayi raat bhar tired feeling,"['HI', 'HI', 'HI', 'HI', 'UNK', 'EN', 'EN']",/sliːp nəhĩː aːjɪ raːt bʰər taɪərd fiːlɪŋ/
car breakdown ho gayi middle of nowhere worst,negative,car breakdown ho gayi middle of nowhere worst,"['EN', 'UNK', 'HI', 'HI', 'UNK', 'UNK', 'UNK', 'EN']",/kɑːr breːəkdoːwn hoː gəjiː mɪddleː oːf noːwheːreː wɜːrst/
fake product mila online shopping se cheated,negative,fake product mila online shopping se cheated,"['EN', 'UNK', 'HI', 'UNK', 'EN', 'HI', 'EN']",/fəkeː proːdʊkt mɪlaː oːnlɪneː ʃoːppɪŋ seː tʃeːəteːd/
presentation mess ho gayi embarrassing moment,negative,presentation mess ho gayi embarrassing moment,"['EN', 'UNK', 'HI', 'HI', 'EN', 'EN']",/prezənteɪʃən meːss hoː gəjiː eːmbərrəssɪŋ moːmeːnt/
flight delayed by hours wasted whole day,negative,flight delayed by hours wasted whole day,"['EN', 'EN', 'EN', 'UNK', 'EN', 'UNK', 'EN']",/flaɪt deːləjeːd baɪ haʊrs wəsteːd whoːleː deɪ/
hotel room dirty tha pathetic condition,negative,hotel room dirty tha pathetic condition,"['UNK', 'HI', 'UNK', 'HI', 'UNK', 'EN']",/hoːteːl ruːm dɪrtj tʰaː pətʰeːtɪk koːndɪtɪoːn/
food poisoning ho gaya horrible experience,negative,food poisoning ho gaya horrible experience,"['EN', 'EN', 'HI', 'HI', 'EN', 'UNK']",/fuːd pɔɪsoːnɪŋ hoː gəjaː hoːrrɪbleː ɪkspɪərɪəns/
keys kho gayi locked out of house,negative,keys kho gayi locked out of house,"['UNK', 'UNK', 'HI', 'EN', 'UNK', 'UNK', 'UNK']",/keːjs kʰoː gəjiː loːkkeːd aʊt oːf haʊseː/
phone screen crack ho gayi expensive repair,negative,phone screen crack ho gayi expensive repair,"['EN', 'HI', 'UNK', 'HI', 'HI', 'UNK', 'UNK']",/foʊn skriːn krəkk hoː gəjiː eːkspeːnsɪveː reːpaɪr/
gym band ho gaya membership waste,negative,gym band ho gaya membership waste,"['UNK', 'UNK', 'HI', 'HI', 'UNK', 'UNK']",/gjm bənd hoː gəjaː meːmbeːrʃɪp wəsteː/
rude behaviour mila shop pe never again,negative,rude behaviour mila shop pe never again,"['UNK', 'UNK', 'HI', 'UNK', 'HI', 'EN', 'EN']",/rʊdeː beːhəvɪaʊr mɪlaː ʃoːp peː nevər əgen/
project reject ho gaya months of work gone,negative,project reject ho gaya months of work gone,"['EN', 'UNK', 'HI', 'HI', 'UNK', 'UNK', 'EN', 'EN']",/prɒdʒekt reːdʒeːkt hoː gəjaː moːntʰs oːf wɜːrk gɒn/
parking nahi mili drove around for hours,negative,parking nahi mili drove around for hours,"['EN', 'HI', 'HI', 'UNK', 'UNK', 'EN', 'UNK']",/pərkɪŋ nəhĩː mɪliː droːveː əraʊnd fɔːr haʊrs/
mosquitoes ne sota nahi diya whole night,negative,mosquitoes ne sota nahi diya whole night,"['UNK', 'UNK', 'UNK', 'HI', 'HI', 'UNK', 'EN']",/moːskʊɪtoːeːs neː soːtə nəhĩː dɪjaː whoːleː naɪt/
printer jam ho gaya deadline miss hone wali,negative,printer jam ho gaya deadline miss hone wali,"['UNK', 'UNK', 'HI', 'HI', 'UNK', 'UNK', 'UNK', 'UNK']",/prɪnteːr dʒəm hoː gəjaː deːədlɪneː mɪss hoːneː wəlɪ/
wrong order deliver hua return process tedious,negative,wrong order deliver hua return process tedious,"['EN', 'UNK', 'UNK', 'UNK', 'UNK', 'UNK', 'UNK']",/wroːŋ oːrdeːr deːlɪveːr hʊə reːtʊrn proːkeːss teːdɪaʊs/
laptop hang ho gaya data save nahi hua,negative,laptop hang ho gaya data save nahi hua,"['UNK', 'UNK', 'HI', 'HI', 'UNK', 'UNK', 'HI', 'UNK']",/ləptoːp həŋ hoː gəjaː dətə səveː nəhĩː hʊə/
noise bahut hai neighbours se cant concentrate,negative,noise bahut hai neighbours se cant concentrate,"['UNK', 'HI', 'HI', 'UNK', 'HI', 'UNK', 'UNK']",/nɔɪseː bəhʊt hɛː neːɪgʰbaʊrs seː kənt koːnkeːntrəteː/
cold lag gayi medicine le raha feeling weak,negative,cold lag gayi medicine le raha feeling weak,"['UNK', 'UNK', 'HI', 'UNK', 'HI', 'HI', 'EN', 'UNK']",/koːld ləg gəjiː meːdɪkɪneː leː rəhaː fiːlɪŋ weːək/
bus miss ho gayi next one after 1 hour,negative,bus miss ho gayi next one after 1 hour,"['EN', 'UNK', 'HI', 'HI', 'UNK', 'UNK', 'EN', 'UNK', 'UNK']",/bʌs mɪss hoː gəjiː neːkst oːneː ɑːftər 1 haʊr/
atm out of cash had to walk far,negative,atm out of cash had to walk far,"['UNK', 'UNK', 'UNK', 'UNK', 'EN', 'HI', 'UNK', 'UNK']",/ətm aʊt oːf kəʃ hæd toː wəlk fər/
charger kharab ho gaya phone dead now,negative,charger kharab ho gaya phone dead now,"['UNK', 'UNK', 'HI', 'HI', 'EN', 'UNK', 'EN']",/tʃərgeːr kʰərəb hoː gəjaː foʊn deːəd naʊ/
meeting boring thi waste of 2 hours,negative,meeting boring thi waste of 2 hours,"['EN', 'HI', 'HI', 'UNK', 'UNK', 'UNK', 'UNK']",/miːtɪŋ boːrɪŋ tʰiː wəsteː oːf 2 haʊrs/
chai peene chalein kya after meeting,neutral,chai peene chalein kya after meeting,"['HI', 'HI', 'UNK', 'HI', 'EN', 'EN']",/tʃaːiː piːneː tʃəlẽː kjaː ɑːftər miːtɪŋ/
aaj monday hai back to work,neutral,aaj monday hai back to work,"['HI', 'UNK', 'HI', 'UNK', 'HI', 'EN']",/aːdʒ mənɖeː hɛː bæk toː wɜːrk/
office mein hun abhi will call later,neutral,office mein hun abhi will call later,"['EN', 'HI', 'HI', 'HI', 'UNK', 'EN', 'UNK']",/ɒfɪs mẽː hũː əbʰiː wɪl kɔːl leɪtər/
kal movie dekhne jayenge shayad,neutral,kal movie dekhne jayenge shayad,"['HI', 'EN', 'UNK', 'UNK', 'HI']",/kəl muːviː deːkʰneː dʒəjeːŋeː ʃaːjəd/
meeting 3 baje hai dont forget,neutral,meeting 3 baje hai dont forget,"['EN', 'UNK', 'UNK', 'HI', 'UNK', 'UNK']",/miːtɪŋ 3 bədʒeː hɛː doːnt foːrgeːt/
ghar pahunch gaya just reached home,neutral,ghar pahunch gaya just reached home,"['HI', 'UNK', 'HI', 'EN', 'EN', 'UNK']",/gʰər pəhʊntʃ gəjaː dʒʌst reːətʃeːd hoːmeː/
kya plan hai weekend ka let me know,neutral,kya plan hai weekend ka let mein know,"['HI', 'EN', 'HI', 'HI', 'HI', 'UNK', 'HI', 'EN']",/kjaː plæn hɛː wiːkeːnd kaː leːt mẽː noʊ/
abhi lunch break mein hun will reply,neutral,abhi lunch break mein hun will reply,"['HI', 'EN', 'UNK', 'HI', 'HI', 'UNK', 'EN']",/əbʰiː lʌntʃ breːək mẽː hũː wɪl reːplj/
train late hai as usual nothing new,neutral,train late hai as usual nothing new,"['EN', 'EN', 'HI', 'UNK', 'UNK', 'EN', 'EN']",/treɪn leɪt hɛː əs ʊsʊəl nʌθɪŋ njuː/
kal se gym shuru karna hai planning,neutral,kal se gym shuru karna hai planning,"['HI', 'HI', 'UNK', 'UNK', 'HI', 'HI', 'EN']",/kəl seː gjm ʃʊrʊ kərnaː hɛː plənnɪŋ/
ye book padh raha hun these days,neutral,ye book padh raha hun these days,"['HI', 'HI', 'UNK', 'HI', 'HI', 'EN', 'UNK']",/jeː buːk pədʰ rəhaː hũː ðiːz dəjs/
market jaana hai evening mein shopping,neutral,market jaana hai evening mein shopping,"['UNK', 'HI', 'HI', 'EN', 'HI', 'EN']",/mərkeːt dʒaːnə hɛː eːveːnɪŋ mẽː ʃoːppɪŋ/
friends ke saath dinner tonight at 8,neutral,friends ke saath dinner tonight at 8,"['EN', 'HI', 'HI', 'EN', 'UNK', 'EN', 'UNK']",/frendz keː saːtʰ dɪnər toːnɪgʰt æt 8/
next week leave lena hai for travel,neutral,next week leave lena hai for travel,"['UNK', 'EN', 'EN', 'HI', 'HI', 'EN', 'UNK']",/neːkst wiːk leːəveː leːnaː hɛː fɔːr trəveːl/
project deadline is friday need to finish,neutral,project deadline is friday need to finish,"['EN', 'UNK', 'EN', 'UNK', 'EN', 'HI', 'UNK']",/prɒdʒekt deːədlɪneː ɪz frɪdəj niːd toː fɪnɪʃ/
bhai tu kaisa hai long time no talk,neutral,bhai tu kaisa hai long time no talk,"['HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'EN', 'UNK']",/bʰaːiː tuː kɛːsaː hɛː lɒŋ tɪmeː noʊ təlk/
amazon se order kiya tha waiting delivery,neutral,amazon se order kya tha waiting delivery,"['UNK', 'HI', 'UNK', 'HI', 'HI', 'EN', 'UNK']",/əməzoːn seː oːrdeːr kjaː tʰaː weɪtɪŋ deːlɪveːrj/
kal interview hai preparing for it,neutral,kal interview hai preparing for it,"['HI', 'UNK', 'HI', 'EN', 'EN', 'EN']",/kəl ɪnteːrvɪeːw hɛː preːpərɪŋ fɔːr ɪt/
sunday ko party hai at my place,neutral,sunday ko party hai at my place,"['UNK', 'HI', 'EN', 'HI', 'EN', 'EN', 'EN']",/sʊndəj koː pɑːrtiː hɛː æt maɪ pleɪs/
new series start ki hai watching slowly,neutral,new series start ki hai watching slowly,"['EN', 'UNK', 'EN', 'HI', 'HI', 'EN', 'EN']",/njuː seːrɪeːs stɑːrt kiː hɛː wɒtʃɪŋ sloːwlj/
doctor appointment hai 5 baje,neutral,doctor appointment hai 5 baje,"['UNK', 'EN', 'HI', 'UNK', 'UNK']",/doːktoːr əppɔɪntmeːnt hɛː 5 bədʒeː/
rent pay karna hai end of month,neutral,rent pay karna hai end of month,"['UNK', 'UNK', 'HI', 'HI', 'UNK', 'UNK', 'EN']",/reːnt pəj kərnaː hɛː eːnd oːf mʌnθ/
